component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B9C383	1	0	1	0
comp 1	0006B9AED6	1	0	1	0
comp 2	0006CC50D5	1.5	0	1	0
comp 2	0006CC6EE1	1.5	0	1	0
comp 2	0006B9D7D8	1	0	2	1
comp 3	0006B9D3CB	1	0.666666667	3	0.5
comp 3	0006CDACB5	1.333333333	1	2	0
comp 3	0006B9BAB9	1.333333333	1	2	0
comp 3	0006CC50E1	1	0.666666667	3	0.5
comp 4	0006CD3EF2	1.5	0	1	0
comp 4	0006CD4515	1	0	2	1
comp 4	0006CC66F4	1.5	0	1	0
comp 5	0006CC6164	1.666666667	0.952380952	7	0.166666667
comp 5	0006CC6BCB	1.583333333	0.6	5	9.433333333
comp 5	0006CD4998	1.666666667	0.952380952	7	0.166666667
comp 5	0006CC50D2	1.416666667	0.821428571	8	2.766666667
comp 5	0006CD44D6	1.416666667	0.821428571	8	2.766666667
comp 5	0006CC4A3E	2	0.833333333	4	1.083333333
comp 5	0006B9D225	2.333333333	1	3	0
comp 5	0006CC4405	1.75	1	6	0
comp 5	0006CD3AC8	1.416666667	0.476190476	7	17.15
comp 5	0006CD5538	1.75	1	6	0
comp 5	0006CC7231	1.416666667	0.821428571	8	2.766666667
comp 5	0006CD4860	2	0.833333333	4	1.083333333
comp 5	0006CD5350	1.25	0.666666667	9	14.61666667
comp 6	0006CC49D7	1.5	1	2	0
comp 6	0006B9C5E8	1.75	0	1	0
comp 6	0006CC44DB	1.5	1	2	0
comp 6	0006CD5F7C	1.75	0	1	0
comp 6	0006CC4228	1	0.166666667	4	5
comp 7	0006954D6A	1.2	0.666666667	4	1.5
comp 7	0006B8D45A	1.2	0.5	4	4
comp 7	0006CC64F9	1.2	0.666666667	4	1.5
comp 7	0006CD65BE	2	0	1	0
comp 7	0006B9D1A1	1.4	1	3	0
comp 7	0006B8CED4	1.8	1	2	0
comp 8	0006CD4748	1	0	2	1
comp 8	0006CC4D6E	1.5	0	1	0
comp 8	0006CD3C53	1.5	0	1	0
comp 9	00069555C7	1	0	1	0
comp 9	0006CD478F	1	0	1	0
comp 10	0006CC4B21	1	0	1	0
comp 10	0006CD3416	1	0	1	0
comp 11	0006CC5954	1.25	0.333333333	3	4
comp 11	0006CD4D90	1.75	1	2	0
comp 11	0006CC578B	1.75	1	2	0
comp 11	0006CC539B	2.25	0	1	0
comp 11	0006CC4E93	1.5	0	2	3
comp 12	0006CC5684	1	0	1	0
comp 12	0006CC73F0	1	0	1	0
