component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B8D5CC	2.857142857	1	2	0
comp 1	0006CC68DF	2.857142857	1	2	0
comp 1	0006B9BAB9	2.142857143	0.333333333	3	10
comp 1	0006B8E0D4	3.285714286	0	1	0
comp 1	0006B9D8C8	2.714285714	0	1	0
comp 1	0006B9D7D8	1.857142857	0	3	14
comp 1	0006B9D3CB	1.857142857	0	2	12
comp 1	0006B8DA03	2.428571429	0	2	6
comp 2	0006CC78D9	1	1	3	0
comp 2	0006CC66A9	1	1	3	0
comp 2	0006B8E017	1	1	3	0
comp 2	0006B9C3BA	1	1	3	0
comp 3	0006B9E497	1.764705882	1	4	0
comp 3	0006CC62D7	1.588235294	1	7	0
comp 3	0006CC4C2F	1.882352941	1	2	0
comp 3	0006B9D770	1.941176471	0	1	0
comp 3	0006CC4228	1.470588235	0.888888889	9	0.642857143
comp 3	0006CC5703	1.647058824	1	6	0
comp 3	0006B9C5E8	1.764705882	1	4	0
comp 3	0006B8E3B8	1.764705882	1	4	0
comp 3	0006CC62BF	1.176470588	0.582417582	14	8.385714286
comp 3	0006CC79CA	1.058823529	0.475	16	18.30238095
comp 3	0006CC4053	1.470588235	0.916666667	9	0.452380952
comp 3	0006B8D0DF	1	0.419117647	17	34.30238095
comp 3	0006CC77B2	1.647058824	1	6	0
comp 3	0006B9D225	1.529411765	0.964285714	8	0.142857143
comp 3	0006B9B745	1.176470588	0.582417582	14	8.385714286
comp 3	0006B9CCE9	1.588235294	1	7	0
comp 3	0006CC47D6	1.176470588	0.582417582	14	8.385714286
comp 3	0006CC44DB	1.647058824	1	6	0
comp 4	0006B8E2FD	1	0	2	1
comp 4	00069B4D4D	1.5	0	1	0
comp 4	0006B8C561	1.5	0	1	0
comp 5	0006954D6A	2	0	1	0
comp 5	0006CD65BE	2	0	1	0
comp 5	0006954921	1.333333333	0	2	2
comp 5	0006B9D1A1	1.333333333	0	2	2
comp 6	0006BA0027	1.166666667	0.4	5	6
comp 6	0006CC5CFA	2	0	1	0
comp 6	0006BA0C9F	1.666666667	1	2	0
comp 6	0006CC5684	1.5	1	3	0
comp 6	0006CC70CD	1.5	1	3	0
comp 6	00069552DA	1.166666667	0.4	5	6
comp 6	0006CD8A0D	2	0	1	0
comp 7	0006B8E98C	1	0	1	0
comp 7	0006B8DC8F	1	0	1	0
