component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B9C383	1.75	0	1	0
comp 1	0006B9AED6	1.75	0	1	0
comp 1	0006B8E0D4	1.75	0	1	0
comp 1	0006B9D3CB	1.75	0	1	0
comp 1	0006B9D7D8	1	0	4	6
comp 2	0006B8D5CC	1.5	0	1	0
comp 2	0006CC68DF	1.5	0	1	0
comp 2	0006B9BAB9	1	0	2	1
comp 3	0006B9C3BA	1	1	3	0
comp 3	0006CC78D9	1	1	3	0
comp 3	0006CC66A9	1	1	3	0
comp 3	0006B8E017	1	1	3	0
comp 4	0006B9E497	1.1	0.947712418	18	0.698863636
comp 4	0006CC62BF	1.2	1	16	0
comp 4	0006CC4C2F	1.05	0.888888889	19	2.091720779
comp 4	0006CC47D6	1.1	0.928104575	18	1.3125
comp 4	0006CC4053	1.15	0.992647059	17	0.0625
comp 4	0006B8D0DF	1.05	0.888888889	19	2.091720779
comp 4	0006CC7774	1.1	0.947712418	18	0.698863636
comp 4	0006B9C5E8	1	0.805263158	20	11.09172078
comp 4	0006B9CCE9	1.1	0.947712418	18	0.698863636
comp 4	0006CC4228	1.1	0.947712418	18	0.698863636
comp 4	0006B9B745	1.45	1	11	0
comp 4	0006CC49D7	1.15	0.992647059	17	0.0625
comp 4	0006B9D770	1.2	1	16	0
comp 4	0006CC77B2	1.15	0.992647059	17	0.0625
comp 4	0006CC79CA	1.05	0.888888889	19	2.091720779
comp 4	0006CC62D7	1.05	0.888888889	19	2.091720779
comp 4	0006B9D225	1	0.805263158	20	11.09172078
comp 4	0006CC4A3E	1.15	0.992647059	17	0.0625
comp 4	0006CC576C	1.6	1	8	0
comp 4	0006CC77E5	1.9	1	2	0
comp 4	0006CC44DB	1.05	0.888888889	19	2.091720779
comp 5	0006B8E2FD	1.833333333	1	2	0
comp 5	0006954921	1.166666667	0.6	5	2.666666667
comp 5	0006B9D1A1	1.166666667	0.6	5	2.666666667
comp 5	0006CD65BE	1.666666667	1	3	0
comp 5	0006954D6A	1.333333333	0.833333333	4	0.666666667
comp 5	0006B8D45A	1.333333333	0.5	4	5
comp 5	00069555C7	2.166666667	0	1	0
comp 6	0006BA0C9F	1	0.571428571	8	4.833333333
comp 6	0006CC5684	1.125	0.714285714	7	1.833333333
comp 6	0006B8DC8F	1.375	1	5	0
comp 6	0006CC4A99	1.375	1	5	0
comp 6	0006B8E98C	1.75	1	2	0
comp 6	0006CD8A0D	1.25	0.866666667	6	0.5
comp 6	0006CC70CD	1.5	1	4	0
comp 6	00069552DA	1	0.571428571	8	4.833333333
comp 6	0006CC5CFA	1.625	1	3	0
comp 7	0006B8BFCF	1	0	1	0
comp 7	0006CC7125	1	0	1	0
