component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B9AED6	1	1	2	0
comp 1	00068EA1C5	1	1	2	0
comp 1	0006B9C383	1	1	2	0
comp 2	0006B8D5CC	1.5	0	1	0
comp 2	0006B8E1C7	1.5	0	1	0
comp 2	0006B8DA03	1	0	2	1
comp 3	0006CC66A9	1.333333333	1	2	0
comp 3	0006B8E017	1	0.333333333	3	2
comp 3	0006B9C3BA	1.666666667	0	1	0
comp 3	0006CC4698	1.333333333	1	2	0
comp 4	0006B8DFD0	1	0	1	0
comp 4	0006B9C5E8	1	0	1	0
comp 5	0006B8E3B8	1	0	2	1
comp 5	0006B9D770	1.5	0	1	0
comp 5	0006CC62BF	1.5	0	1	0
comp 6	0006954D6A	1	0	1	0
comp 6	0006B8D16C	1	0	1	0
comp 7	0006CD8A0D	1	0	1	0
comp 7	00069552DA	1	0	1	0
comp 8	00069B3D56	1	0	1	0
comp 8	0006BA0C9F	1	0	1	0
comp 9	0006BA0027	1	0	2	1
comp 9	0006CC433A	1.5	0	1	0
comp 9	00069542F0	1.5	0	1	0
