component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B9D7D8	1.294117647	0.923076923	14	0.733333333
comp 1	0006CD5D56	1.294117647	0.923076923	14	0.733333333
comp 1	0006CD4185	1.352941176	0.961538462	13	0.3
comp 1	0006CC62B7	1.294117647	0.923076923	14	0.733333333
comp 1	0006CC43B9	1.411764706	1	12	0
comp 1	0006B9D8C8	1.294117647	0.923076923	14	0.733333333
comp 1	0006B9D3CB	1.294117647	0.923076923	14	0.733333333
comp 1	0006CC4618	1.411764706	1	12	0
comp 1	0006B9AED6	1.294117647	0.923076923	14	0.733333333
comp 1	0006B8E0D4	1.117647059	0.8	15	42.73333333
comp 1	0006CD682A	1.470588235	0.981818182	11	0.1
comp 1	0006CC50D5	1.294117647	0.923076923	14	0.733333333
comp 1	0006B9BAB9	1.294117647	0.923076923	14	0.733333333
comp 1	0006CC5B4E	1.411764706	1	12	0
comp 1	0006B9C383	1.529411765	1	10	0
comp 1	0006B8D5CC	2.705882353	1	2	0
comp 1	0006CC68DF	2.705882353	1	2	0
comp 1	0006B8DA03	1.823529412	0.333333333	3	30
comp 2	0006CC62D7	1.833333333	0	1	0
comp 2	0006B9D225	1.333333333	1	4	0
comp 2	0006B9CCE9	1.333333333	1	4	0
comp 2	0006B8BADB	1.833333333	0	1	0
comp 2	0006CC4A3E	1	0.4	6	9
comp 2	0006B8D0DF	1.333333333	1	4	0
comp 2	0006B9B745	1.333333333	1	4	0
comp 3	0006CC77E5	1	0	2	1
comp 3	0006CC77B2	1.5	0	1	0
comp 3	0006CC7774	1.5	0	1	0
comp 4	0006CC44DB	1	0.333333333	4	3.5
comp 4	0006CC4228	1.5	1	2	0
comp 4	0006CC4C2F	1.25	0.666666667	3	0.5
comp 4	0006CC49D7	1.5	1	2	0
comp 4	0006CC79CA	1.75	0	1	0
comp 5	0006CC5B3E	2.181818182	0.666666667	3	4
comp 5	0006CD65BE	1.818181818	0.833333333	4	3.333333333
comp 5	00069555C7	2.090909091	0.333333333	4	14
comp 5	0006CD3416	1.636363636	0.4	5	28
comp 5	0006954D6A	2.090909091	0.5	5	10.33333333
comp 5	0006B8D45A	2.909090909	1	2	0
comp 5	0006B8CED4	1.636363636	0.466666667	6	16.16666667
comp 5	00069B4D4D	3	0	1	0
comp 5	0006B9D1A1	1.727272727	0.7	5	6.166666667
comp 5	0006CC4B21	3	0	1	0
comp 5	0006954921	2.545454545	0	1	0
comp 5	0006CC4AE7	2.272727273	1	3	0
comp 6	0006CC5D24	1.5	1	8	0
comp 6	0006CC5CFA	1.0625	0.685714286	15	6.341666667
comp 6	0006B8DC8F	1.3125	0.927272727	11	0.5
comp 6	0006CC4E93	1.3125	0.909090909	11	0.625
comp 6	0006CC578B	1.3125	0.927272727	11	0.5
comp 6	0006CC6ADE	1.5	1	8	0
comp 6	0006CC539B	1.75	1	4	0
comp 6	0006CC5684	1.0625	0.685714286	15	6.341666667
comp 6	0006B8B9BE	1.1875	0.833333333	13	1.791666667
comp 6	0006CC4E98	1.4375	1	9	0
comp 6	0006CC527C	1.0625	0.685714286	15	6.341666667
comp 6	0006CC73F0	1.6875	1	5	0
comp 6	0006CC4A99	1.3125	0.909090909	11	0.625
comp 6	0006CC50C6	1.9375	0	1	0
comp 6	0006BA0C9F	1.125	0.758241758	14	3.591666667
comp 6	0006CD449E	1	0.6	16	21.34166667
comp 6	0006B8E98C	1.4375	1	9	0
comp 7	0006CC45F1	1.25	0.733333333	6	1.333333333
comp 7	0006CD3F05	1	0.5	8	8.333333333
comp 7	0006B8BFCF	1.625	1	3	0
comp 7	0006CC75C4	1.5	1	4	0
comp 7	0006CC56EC	1.25	0.6	6	3
comp 7	0006CC7125	1.625	1	3	0
comp 7	0006CC4B36	1.5	1	4	0
comp 7	0006CC6992	1.5	1	4	0
comp 7	0006CC7646	1.25	0.733333333	6	1.333333333
