component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006CD682A	1.75	0.952380952	7	0.125
comp 1	0006B9D8C8	1.375	0.909090909	11	1.119047619
comp 1	0006B9AED6	1.3125	0.96969697	12	0.2
comp 1	0006CC4618	1.1875	0.820512821	13	28.2
comp 1	0006CC62B7	1.3125	0.939393939	12	0.75
comp 1	0006CD5D56	1.25	0.91025641	13	1.075
comp 1	0006B9BAB9	1.1875	0.846153846	14	2.560714286
comp 1	0006B9C383	1.625	0.916666667	9	0.452380952
comp 1	0006B9D7D8	1.1875	0.846153846	14	2.560714286
comp 1	0006CD4185	1.25	0.91025641	13	1.075
comp 1	0006CC43B9	1.3125	0.96969697	12	0.2
comp 1	0006B8D5CC	2.9375	0	1	0
comp 1	0006CC5B4E	1.375	1	11	0
comp 1	0006CC50D5	1.1875	0.846153846	14	2.560714286
comp 1	0006CC68DF	2	0	2	15
comp 1	0006B8E0D4	1.1875	0.846153846	14	2.560714286
comp 1	0006B9D3CB	1.1875	0.846153846	14	2.560714286
comp 2	0006CC77E5	2.294117647	1	2	0
comp 2	0006CC44DB	1.529411765	0.666666667	10	10
comp 2	0006B9C5E8	1.411764706	0.46969697	12	40
comp 2	0006CC4A3E	2.058823529	1	4	0
comp 2	0006B9CCE9	1.411764706	0.6	10	27.5
comp 2	0006CC49D7	2.117647059	1	5	0
comp 2	0006CC62D7	1.705882353	1	7	0
comp 2	0006CC79CA	2.117647059	1	5	0
comp 2	0006CC40FA	2.941176471	0	1	0
comp 2	0006CD4CDC	1.705882353	1	7	0
comp 2	0006B8BADB	2.941176471	0	1	0
comp 2	0006B9D225	1.411764706	0.6	10	27.5
comp 2	0006CC47D6	1.705882353	1	7	0
comp 2	0006B8D0DF	2	0.6	5	16
comp 2	0006B9B745	2	0.6	5	16
comp 2	0006CC7774	2.294117647	1	2	0
comp 2	0006CC4228	1.529411765	0.666666667	10	10
comp 2	0006CC4C2F	2.117647059	1	5	0
comp 3	0006CC5C30	1	0	1	0
comp 3	0006CC3EFA	1	0	1	0
comp 4	0006CC56DC	1.411764706	0.872727273	11	1.922222222
comp 4	0006CD4C6E	2.176470588	1	4	0
comp 4	00069555C7	1.411764706	0.854545455	11	3.472222222
comp 4	0006954D6A	1.705882353	0.904761905	7	0.4
comp 4	0006CC4AE7	1.705882353	0.904761905	7	0.6
comp 4	0006B8E2FD	1.294117647	0.679487179	13	9.033333333
comp 4	00069B4D4D	1.235294118	0.730769231	13	9.022222222
comp 4	0006CD3416	1.411764706	0.854545455	11	3.472222222
comp 4	0006954921	2.588235294	0	1	0
comp 4	0006CD65BE	1.470588235	0.8	10	16
comp 4	0006CC4B21	1.176470588	0.67032967	14	12.75555556
comp 4	0006B8D45A	1.176470588	0.67032967	14	12.75555556
comp 4	0006B9D1A1	1.647058824	0.678571429	8	16.4
comp 4	0006CC5B3E	1.411764706	0.854545455	11	3.472222222
comp 4	0006B8CC8C	1.470588235	0.977777778	10	0.222222222
comp 4	0006B8CED4	1.823529412	1	5	0
comp 4	0006CC6490	1.411764706	0.854545455	11	3.472222222
comp 4	0006CD3C53	2.411764706	0	1	0
comp 5	0006CC6ADE	1.25	0.972222222	9	0.111111111
comp 5	0006CC578B	1.083333333	0.927272727	11	0.472222222
comp 5	0006CC539B	1.083333333	0.927272727	11	0.472222222
comp 5	0006CC4E98	1.25	0.972222222	9	0.111111111
comp 5	0006BA0C9F	1	0.818181818	12	2.472222222
comp 5	0006CD449E	1	0.818181818	12	2.472222222
comp 5	0006B8DC8F	1.666666667	1	4	0
comp 5	0006CC5CFA	1.166666667	0.955555556	10	0.236111111
comp 5	0006CC5684	1.25	1	9	0
comp 5	0006CC527C	1	0.818181818	12	2.472222222
comp 5	0006CC4E93	1.166666667	0.955555556	10	0.236111111
comp 5	0006B8E98C	1	0.818181818	12	2.472222222
comp 5	0006B8B9BE	1.083333333	0.927272727	11	0.472222222
comp 6	0006CC7646	1.444444444	1	5	0
comp 6	0006CC4B36	1	0.861111111	9	0.942857143
comp 6	0006CC75C4	1.111111111	0.964285714	8	0.142857143
comp 6	0006CD3F05	1.111111111	0.964285714	8	0.142857143
comp 6	0006CC4D64	1	0.861111111	9	0.942857143
comp 6	0006CC6992	1.222222222	1	7	0
comp 6	0006CC45F1	1	0.861111111	9	0.942857143
comp 6	0006CC56EC	1	0.861111111	9	0.942857143
comp 6	0006B8BFCF	1	0.861111111	9	0.942857143
comp 6	0006CC7125	1.222222222	1	7	0
