component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006CD4185	1.214285714	0.963636364	11	0.222222222
comp 1	0006B9C383	1.285714286	1	10	0
comp 1	0006CC43B9	1.142857143	0.833333333	12	3.222222222
comp 1	0006B8D5CC	1.714285714	0.666666667	4	1
comp 1	0006B9BAB9	1.071428571	0.730769231	13	7.055555556
comp 1	0006CDACB5	1.857142857	1	2	0
comp 1	0006CC59E0	1.785714286	1	3	0
comp 1	0006B9D3CB	1.285714286	1	10	0
comp 1	0006B9D7D8	1.214285714	0.963636364	11	0.222222222
comp 1	0006CC50E1	1	0.637362637	14	18.05555556
comp 1	0006CC4618	1.214285714	0.963636364	11	0.222222222
comp 1	0006CD5D56	1.214285714	0.963636364	11	0.222222222
comp 1	0006B9AED6	1.214285714	0.963636364	11	0.222222222
comp 1	0006CC68DF	1.285714286	0.844444444	10	2.333333333
comp 1	0006CC50D5	1.214285714	0.963636364	11	0.222222222
comp 2	0006CD7CBC	1	1	7	0
comp 2	0006CC40FA	1	1	7	0
comp 2	0006CC4A3E	1	1	7	0
comp 2	0006B8D0DF	1	1	7	0
comp 2	0006B9D225	1	1	7	0
comp 2	0006B9CCE9	1	1	7	0
comp 2	0006B9B745	1	1	7	0
comp 2	0006CC6134	1	1	7	0
comp 3	0006CC62D7	1	0	1	0
comp 3	0006CC47D6	1	0	1	0
comp 4	0006CC77E5	1	0	1	0
comp 4	0006CC7774	1	0	1	0
comp 5	0006CC79CA	1	0.8	6	1
comp 5	0006CC4228	1.166666667	1	5	0
comp 5	0006CC49D7	1.166666667	1	5	0
comp 5	0006CC4C2F	1.166666667	1	5	0
comp 5	0006B9C5E8	1	0.8	6	1
comp 5	0006CD4E3B	1.5	1	3	0
comp 5	0006CC44DB	1	0.8	6	1
comp 6	0006CC5C30	1	1	2	0
comp 6	0006CC3EFA	1	1	2	0
comp 6	0006CC42AD	1	1	2	0
comp 7	0006954D6A	2.68	0.714285714	7	25.4
comp 7	0006CC6F0C	2.4	0.733333333	6	10.25
comp 7	0006954921	2.8	0.9	5	0.25
comp 7	0006CD4748	2.68	0.714285714	7	25.4
comp 7	0006CD478F	2.84	0.964285714	8	2.428571429
comp 7	0006CD5C35	2.4	0.733333333	6	10.25
comp 7	0006CD3416	4.48	0	1	0
comp 7	0006CC64F9	2.76	0.933333333	6	3.4
comp 7	0006CDCBE1	2.8	0.777777778	9	13.92857143
comp 7	0006CC5B3E	2.84	0.964285714	8	2.428571429
comp 7	0006CC5C99	2.84	0.964285714	8	2.428571429
comp 7	0006B8CED4	2.84	1	4	0
comp 7	0006CC4DD0	2.8	0.777777778	9	13.92857143
comp 7	0006CC4AE7	3.44	1	5	0
comp 7	0006CC56DC	3.72	1	2	0
comp 7	0006B9D1A1	2.72	0.666666667	7	27.4
comp 7	0006CC62CB	2.84	1	4	0
comp 7	0006CC4B21	3.52	0.333333333	3	24
comp 7	0006CC5D4D	2.16	0.464285714	8	144
comp 7	0006CC7962	2.84	0.964285714	8	2.428571429
comp 7	0006CC6490	3.52	1	7	0
comp 7	0006CC4D6E	2.76	0.933333333	6	3.4
comp 7	0006CC69BE	2	0.523809524	7	160.25
comp 7	00069555C7	2.84	0.964285714	8	2.428571429
comp 7	0006CD5439	2.24	0.75	8	144
comp 7	0006B8D45A	3.68	0	1	0
comp 8	0006CC4E21	1	0.714285714	8	2.033333333
comp 8	0006B8B9BE	1.5	1	4	0
comp 8	0006CC4E93	1	0.714285714	8	2.033333333
comp 8	0006BA0C9F	1.125	0.80952381	7	0.95
comp 8	0006CC578B	1	0.714285714	8	2.033333333
comp 8	0006CC5684	1.375	1	5	0
comp 8	0006CC5954	1.125	0.80952381	7	0.95
comp 8	0006CC5CFA	1.5	1	4	0
comp 8	0006CD4D90	1.375	1	5	0
comp 9	0006CC4D64	1.857142857	0.666666667	3	0.333333333
comp 9	0006CC75C4	2	0	1	0
comp 9	0006CC4B36	1.428571429	0.5	4	2.666666667
comp 9	0006CC56EC	1.857142857	1	2	0
comp 9	0006CC45F1	1.571428571	0.666666667	3	0.75
comp 9	0006B8BFCF	1.142857143	0.266666667	6	11.08333333
comp 9	0006CC688E	1.428571429	0.666666667	4	1.25
comp 9	0006CC7125	1.571428571	0.666666667	3	0.916666667
