component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B9C383	1	0	1	0
comp 1	00068EA1C5	1	0	1	0
comp 2	0006B9BAB9	1	1	2	0
comp 2	0006CC68DF	1	1	2	0
comp 2	0006B8DA03	1	1	2	0
comp 3	0006CC66A9	1.333333333	1	2	0
comp 3	0006CC4698	1	0.666666667	3	0.5
comp 3	0006B9C3BA	1	0.666666667	3	0.5
comp 3	0006B8E017	1.333333333	1	2	0
comp 4	0006B8D0DF	1	0	1	0
comp 4	0006B9AB62	1	0	1	0
comp 5	0006B8E3B8	1.5	0	1	0
comp 5	0006B8DFD0	1.5	0	1	0
comp 5	0006B9C5E8	1	0	2	1
comp 6	0006B9D770	1	0	1	0
comp 6	0006B9D225	1	0	1	0
comp 7	0006B8CC8C	1	0	1	0
comp 7	0006B8E2FD	1	0	1	0
comp 8	00069B4D4D	1	0	1	0
comp 8	0006B8C561	1	0	1	0
comp 9	0006BA0C9F	1	0	2	1
comp 9	00069552DA	1.5	0	1	0
comp 9	00069B3D56	1.5	0	1	0
