component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B9D7D8	1.25	0.787878788	12	3.960735171
comp 1	0006B9A9A2	1.875	1	4	0
comp 1	0006B8D5CC	2.0625	1	2	0
comp 1	0006B9BAB9	1.1875	0.641025641	13	15.90396825
comp 1	0006CC43B9	1.375	0.911111111	10	0.899018379
comp 1	0006CC4618	1.25	0.772727273	12	3.833249791
comp 1	0006CC68DF	1.6875	0.7	5	2.122222222
comp 1	0006CD5D56	1.4375	0.944444444	9	0.502088555
comp 1	0006CD682A	1.5625	0.761904762	7	1.755263158
comp 1	0006B9B464	1.875	1	4	0
comp 1	0006B8E0D4	1.125	0.604395604	14	14.47969925
comp 1	0006B9AED6	1.3125	0.872727273	11	1.47213868
comp 1	0006CC5B4E	1.75	1	7	0
comp 1	0006CC50D5	1.3125	0.872727273	11	1.47213868
comp 1	0006B9D3CB	1.25	0.681818182	12	7.123245614
comp 1	0006CD4185	1.25	0.772727273	12	3.833249791
comp 1	0006B9C383	1.3125	0.690909091	11	5.642982456
comp 2	0006CC4418	1	0	1	0
comp 2	0006CC6D31	1	0	1	0
comp 3	0006CC40FA	1	0	1	0
comp 3	0006B9B745	1	0	1	0
comp 4	0006CC4228	1.333333333	0.583333333	9	10.47777778
comp 4	0006CC4C2F	2	1	4	0
comp 4	0006CC47D6	1.583333333	0.933333333	6	0.311111111
comp 4	0006B9C5E8	1.75	0.733333333	6	1.638888889
comp 4	0006CD4CDC	1.75	1	5	0
comp 4	0006B9D225	1.583333333	0.933333333	6	0.311111111
comp 4	0006B9CCE9	1.416666667	0.666666667	7	20.31111111
comp 4	0006CC4A3E	2.166666667	0	2	11
comp 4	0006CC44DB	1.333333333	0.555555556	9	13.63888889
comp 4	0006CC49D7	1.833333333	0.9	5	0.361111111
comp 4	0006CC79CA	1.833333333	0.9	5	0.361111111
comp 4	0006CC62D7	1.5	0.761904762	7	2.588888889
comp 4	0006B8D0DF	3.083333333	0	1	0
comp 5	0006CC77E5	1	0	1	0
comp 5	0006CC7774	1	0	1	0
comp 6	0006CC3EFA	1	0	1	0
comp 6	0006CC5C30	1	0	1	0
comp 7	0006CC4B21	1.214285714	0.672727273	11	7
comp 7	0006B8D45A	1.357142857	0.833333333	9	3.666666667
comp 7	0006CD65BE	1.428571429	1	8	0
comp 7	0006954D6A	2.142857143	1	3	0
comp 7	0006CC5B3E	1.571428571	0.761904762	7	1.333333333
comp 7	0006B9D1A1	1.357142857	0.833333333	9	3.666666667
comp 7	0006CD3416	1.142857143	0.606060606	12	14.5
comp 7	0006CC6490	1.428571429	1	8	0
comp 7	00069555C7	1.571428571	0.761904762	7	1.333333333
comp 7	0006B8CED4	1.428571429	1	8	0
comp 7	0006CD4C6E	1.785714286	1	4	0
comp 7	0006CC56DC	1.571428571	0.761904762	7	1.333333333
comp 7	0006B8CC8C	1.142857143	0.606060606	12	14.5
comp 7	0006CC4AE7	1.357142857	0.833333333	9	3.666666667
comp 7	00069B4D4D	1.785714286	1	4	0
comp 8	0006CD449E	1	0	1	0
comp 8	0006B8E98C	1	0	1	0
comp 9	0006CD3F05	1.333333333	1	6	0
comp 9	0006CC4D64	1	0.805555556	9	1.3
comp 9	0006CC75C4	1.111111111	0.892857143	8	0.5
comp 9	0006B8BFCF	1	0.805555556	9	1.3
comp 9	0006CC7646	1.444444444	1	5	0
comp 9	0006CC7125	1.333333333	1	6	0
comp 9	0006CC6992	1.333333333	1	6	0
comp 9	0006CC4B36	1	0.805555556	9	1.3
comp 9	0006CC45F1	1	0.805555556	9	1.3
comp 9	0006CC56EC	1	0.805555556	9	1.3
