component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006CC43B9	2.375	1	2	0
comp 1	0006B9AED6	1.625	0.5	4	7
comp 1	0006B9D7D8	1.625	0.666666667	4	3
comp 1	0006CD5D56	1.625	0.666666667	4	3
comp 1	0006B9BAB9	1.375	0.4	5	15
comp 1	0006CDACB5	2.625	1	2	0
comp 1	0006B9D3CB	1.875	0.666666667	3	3
comp 1	0006CC50E1	1.875	0.666666667	3	3
comp 1	0006CC5B4E	2.5	0	1	0
comp 2	0006B9C383	1	0	1	0
comp 2	0006CD4185	1	0	1	0
comp 3	0006B8D0DF	1	0.6	5	1.833333333
comp 3	0006CD3DA5	1.6	1	2	0
comp 3	0006CC4A3E	1.4	1	3	0
comp 3	0006B9D225	1.2	0.833333333	4	0.333333333
comp 3	0006B9CCE9	1.4	1	3	0
comp 3	0006B9B745	1	0.6	5	1.833333333
comp 4	0006CC47D6	1.5	0	1	0
comp 4	0006CC7774	1	0	2	1
comp 4	0006CD7CBC	1.5	0	1	0
comp 5	0006CC44DB	1.4	1	3	0
comp 5	0006B9C5E8	1.4	1	3	0
comp 5	0006CC49D7	1	0.5	5	4.333333333
comp 5	0006CC4C2F	1.8	0	1	0
comp 5	0006CC79CA	1.2	0.833333333	4	0.333333333
comp 5	0006CC4228	1.2	0.833333333	4	0.333333333
comp 6	0006CC42AD	1	0	1	0
comp 6	0006CC3EFA	1	0	1	0
comp 7	0006CC64F9	1.444444444	0.8	5	1
comp 7	0006954921	1.888888889	0.666666667	3	0.5
comp 7	0006CD4748	1.444444444	0.6	5	8
comp 7	0006B8CED4	2	1	2	0
comp 7	0006CC4AE7	2.222222222	0	1	0
comp 7	0006CD3C53	2.333333333	0	1	0
comp 7	0006B8D45A	1.444444444	0.7	5	2.5
comp 7	0006B9D1A1	1.777777778	1	3	0
comp 7	0006954D6A	1.222222222	0.476190476	7	11
comp 7	0006CC4D6E	1.333333333	0.533333333	6	9
comp 8	00069555C7	1.25	0.666666667	3	0.5
comp 8	0006CC4DD0	1.5	1	2	0
comp 8	0006CDCBE1	1.75	0	1	0
comp 8	0006CD478F	1	0.333333333	4	3.5
comp 8	0006CC5B3E	1.5	1	2	0
comp 9	0006CD4D90	1.4	1	6	0
comp 9	0006CC5684	1.2	0.642857143	8	9.75
comp 9	0006CC539B	1.4	1	6	0
comp 9	0006CD449E	1.4	1	6	0
comp 9	0006BA0C9F	1.2	0.714285714	8	2.75
comp 9	0006CC4E93	1.7	0.833333333	4	0.333333333
comp 9	0006CC4E21	1.8	1	3	0
comp 9	0006CC5954	1.1	0.611111111	9	6.083333333
comp 9	0006CC578B	1.1	0.611111111	9	6.083333333
comp 9	0006CC73F0	2.1	0	1	0
comp 9	0006CC5CFA	1.6	1	4	0
comp 10	0006B8DC8F	1	0	1	0
comp 10	0006CC50C6	1	0	1	0
comp 11	0006CC4D64	1.5	1	2	0
comp 11	0006CC7125	1.5	1	2	0
comp 11	0006CC75C4	1.5	1	2	0
comp 11	0006CD3F05	1.5	1	2	0
comp 11	0006CC688E	1	0.333333333	4	4
